baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000117586	231.492485863963	-7.77589531013332	1.04654962547667	-7.21249774397924	5.49347411430958e-13	6.40758820693069e-09
ENSG00000138722	180.948636985966	-7.46217470659076	1.04988329620483	-6.91117270125566	4.80663448424522e-12	2.80322923121181e-08
ENSG00000013810	181.683773071356	-7.42966395832879	1.0627019727089	-6.80555233589981	1.00662275523743e-11	3.91374927236314e-08
ENSG00000102362	119.331190152796	-6.61197207950091	0.992547484857788	-6.51608792442737	7.21646852413303e-11	2.10432222163719e-07
ENSG00000240849	109.649316977647	-6.83884485876227	1.05048496014013	-6.34976209054004	2.15648170089217e-10	5.03064051184125e-07
ENSG00000040341	168.686702504484	-6.87457178256987	1.09063659032695	-6.20446125876534	5.48845912790381e-10	9.75036716504275e-07
ENSG00000213462	167.295789123429	-6.53428136381132	1.03947180627173	-6.19437817754364	5.85155779795089e-10	9.75036716504275e-07
ENSG00000122783	79.9017912908314	-6.49720532659558	1.02957980741384	-6.15785923660232	7.37348475302442e-10	1.07505407699096e-06
ENSG00000157570	135.80296206413	-6.87090335293525	1.13179710596115	-5.95458279969598	2.60736098645609e-09	3.37913983844709e-06
ENSG00000136404	62.5511704658218	-6.2009951441936	1.02487293020078	-5.91200815031856	3.37961811749245e-09	3.94198657224319e-06
ENSG00000163681	125.107211767225	-6.27678318438193	1.0593650234293	-5.86931942772151	4.37587648044856e-09	4.64002029708654e-06
ENSG00000110218	110.492702003129	-6.64630483875009	1.12434803350693	-5.79961113277534	6.64688760766239e-09	6.43223784697338e-06
ENSG00000135315	83.0656637943231	-6.18031243035581	1.05023431077136	-5.76282182535868	8.27191081143696e-09	6.43223784697338e-06
ENSG00000164236	110.359495696396	-6.63497074819863	1.12805016825651	-5.77239110553495	7.81544518299958e-09	6.43223784697338e-06
ENSG00000167642	83.1102100249406	-6.40355543932625	1.08620648695198	-5.77534215800854	7.67968633232206e-09	6.43223784697338e-06
ENSG00000145687	74.3768979216018	-6.29281072132096	1.07527167332192	-5.73274789409373	9.88164570738332e-09	7.20371972068244e-06
ENSG00000147650	75.8991440792079	-6.30175758412818	1.08156196377844	-5.70946766846424	1.13330082903325e-08	7.77577698226109e-06
ENSG00000187800	96.1029163111719	-6.49312721698498	1.1190728497795	-5.69402969231463	1.24075492333988e-08	8.04009190324239e-06
ENSG00000169860	111.980746108749	-6.55419721352664	1.16046716467945	-5.5588944428973	2.71488819435099e-08	1.66665557362684e-05
ENSG00000172572	92.3443302788715	-6.40058546603006	1.13464058914722	-5.54421367821636	2.95278072733415e-08	1.72206172018127e-05
ENSG00000127838	70.8496786473283	-6.17198302957786	1.09884430608431	-5.51341898664362	3.51929069812792e-08	1.95471460490305e-05
ENSG00000137502	132.38802085883	-6.63696668253848	1.19666418042291	-5.47486355651534	4.37848844658599e-08	2.22046474960778e-05
ENSG00000166037	43.5019748747356	-5.60405214343767	1.00047199727066	-5.47860445894975	4.28693476564948e-08	2.22046474960778e-05
ENSG00000135924	78.5982515053462	-6.21555319053127	1.13010332310367	-5.40863570212881	6.35066587501835e-08	3.08642361525892e-05
ENSG00000066697	141.29107013369	-5.26204208603878	0.975345520452231	-5.37291438614354	7.74741191588589e-08	3.47560817641896e-05
ENSG00000152763	102.987038203457	-6.40859180043038	1.17592490220941	-5.37331554589799	7.73018777709071e-08	3.47560817641896e-05
ENSG00000151150	52.5534576889795	-5.86429359133323	1.07397373643957	-5.36036484674322	8.30540434418055e-08	3.587934676686e-05
ENSG00000068831	122.201006918406	-5.72444985703888	1.07718089425875	-5.30448743510098	1.12990025379835e-07	4.63960502065484e-05
ENSG00000122779	59.6123762315197	-5.94885006095458	1.10310266891578	-5.30070921525452	1.15353691357159e-07	4.63960502065484e-05
ENSG00000124535	149.184231315887	-5.8580261399255	1.09735250339288	-5.29334222836231	1.20100860321697e-07	4.66952144930757e-05
ENSG00000159348	88.7466107663546	-6.25250064597656	1.16954837270615	-5.27094349921925	1.35724249233493e-07	4.97501252686126e-05
ENSG00000196459	107.174441817146	-5.59765685100358	1.05987057431554	-5.2699126665065	1.36488683864506e-07	4.97501252686126e-05
ENSG00000102241	40.9997954569378	5.53033845138893	1.03238584343358	5.25754124073582	1.45994161552977e-07	5.1602300010725e-05
ENSG00000187098	43.7002245930841	-5.66077146473943	1.06161283035638	-5.23713524414587	1.63088187212237e-07	5.59488416365746e-05
ENSG00000117400	85.6101895725411	-6.20341262101256	1.17176105897046	-5.22147558509059	1.77503034518684e-07	5.75109831840536e-05
ENSG00000167740	83.2465813890753	-6.18293593215887	1.16711010472733	-5.22366264176619	1.75418246822184e-07	5.75109831840536e-05
ENSG00000004059	77.0615665042253	-6.11719523997478	1.15755449374535	-5.20859590526574	1.9027499545625e-07	5.89031055826802e-05
ENSG00000115159	71.7211280554266	-6.06244273085465	1.14685811273781	-5.20701779911296	1.91899692398992e-07	5.89031055826802e-05
ENSG00000177697	77.1466633017574	-5.85217483320255	1.11535933241226	-5.1878702764129	2.12712689096886e-07	6.36174565545149e-05
ENSG00000153162	204.952089800789	-5.43741968138926	1.04947253466676	-5.15811868080374	2.49443497645842e-07	7.27377239135275e-05
ENSG00000104472	53.2570972196988	-5.78913070028203	1.11530022448721	-5.10800758836647	3.2557357921578e-07	9.26217128773868e-05
ENSG00000177311	37.7962159450083	-5.48417370180693	1.0602966708747	-5.0843314689213	3.6892317361174e-07	0.000102455235643032
ENSG00000075945	70.9480384442426	-5.77275468894287	1.12293826203359	-5.07796657932336	3.81495779127553e-07	0.000103482948087065
ENSG00000088053	116.438595427005	-5.82065973455036	1.14644533204581	-5.05739212076334	4.25028720206697e-07	0.000110167444277576
ENSG00000126524	90.438275163937	-6.16534389087609	1.20583886473055	-5.05757525310276	4.24620887248013e-07	0.000110167444277576
ENSG00000151838	89.2582332592428	-5.7564525259111	1.13223760174102	-5.04775866807997	4.47023314025557e-07	0.000113349563799872
ENSG00000198843	95.1622278995352	-5.61732800677204	1.10408733008987	-5.03447978768056	4.79148227755705e-07	0.000117144583306705
ENSG00000205309	74.8903560115568	-6.01923880081653	1.18102499751192	-5.03331243524296	4.8207647451319e-07	0.000117144583306705
ENSG00000125249	70.1375972887084	-5.12801179848009	1.01543467255346	-5.02733416507339	4.97345257285587e-07	0.00011838847104039
ENSG00000162999	29.692233740781	-5.24579060843343	1.02965320952254	-5.00724800275259	5.52137671382309e-07	0.000126277133313789
ENSG00000166035	32.9603732413039	-5.3412229768021	1.04836518809633	-5.00873787737559	5.47881301063059e-07	0.000126277133313789
ENSG00000197226	63.6062402363686	-5.26336626142726	1.04241953680122	-4.99854523977721	5.7764455318788e-07	0.000129570116699681
ENSG00000052126	52.7730715504343	-5.7088370339753	1.14005788002562	-4.93811672061794	7.88806279652056e-07	0.00017359691407286
ENSG00000125814	31.7975082633481	-5.26768035213937	1.0599157863345	-4.89131599582879	1.00164005530977e-06	0.00021635425194691
ENSG00000100979	40.0424378258661	-5.45750416619554	1.1019808722006	-4.88021410618434	1.05970731099357e-06	0.000224735019553255
ENSG00000110514	189.997529862705	-5.37052469037093	1.10353470095411	-4.84802582863304	1.24696168685526e-06	0.000259724305633567
ENSG00000113638	105.221037760949	-5.63753539292435	1.15546153429656	-4.83670043534809	1.32012149646959e-06	0.000270138546224934
ENSG00000149516	79.6777912852861	5.88410988077811	1.21487662097805	4.79970001051103	1.58903471207835e-06	0.000319560360028998
ENSG00000113924	88.0102703628787	-6.00727941179518	1.24617780391014	-4.78806392774735	1.68398010333969e-06	0.000332914303819562
ENSG00000184574	49.6875697565919	-5.59223372174945	1.156845890555	-4.7746033801376	1.80061767979501e-06	0.00035004007695215
ENSG00000023909	51.3867929827923	-5.60624647289704	1.16733300361496	-4.74628768407981	2.07183981914928e-06	0.000394452898111141
ENSG00000139970	61.0262128904161	-5.64444699132143	1.17279726584715	-4.74387190174069	2.0967146504536e-06	0.000394452898111141
ENSG00000145996	28.9190480976997	-5.11790235015699	1.07251295390557	-4.70387938093348	2.55264090500452e-06	0.000472603230412266
ENSG00000168564	49.0685811359511	-5.54825931708243	1.16863614559251	-4.69333500588912	2.68786787319934e-06	0.00048986391989058
ENSG00000080839	46.9953534374444	-5.50434494755725	1.16557603804408	-4.66836688676095	3.03603383476905e-06	0.000544804594596096
ENSG00000253276	26.8256598508514	-5.04272473024251	1.06702582552108	-4.65827711810355	3.18866785988951e-06	0.000563524574511382
ENSG00000144597	55.8658773704803	-5.61990499889245	1.19881796352645	-4.64280837755625	3.43705092619038e-06	0.00059268274277181
ENSG00000171608	87.4568730357106	5.53266727179245	1.18058771668071	4.64171553029897	3.45528347980822e-06	0.00059268274277181
ENSG00000185736	31.3284451213272	-5.16165407696021	1.1022621816002	-4.62036256432636	3.83070030003135e-06	0.000646391824711772
ENSG00000187699	1346.75097851953	-4.05286608518675	0.877924133988693	-4.61774969756075	3.87923763115775e-06	0.000646391824711772
ENSG00000107798	156.903328755564	-5.18205040561276	1.12760567456538	-4.60270613425143	4.1703646543652e-06	0.000685114553922756
ENSG00000163898	28.8234490899417	-5.07723283663994	1.08950105671523	-4.59860695158458	4.25325350949686e-06	0.000689027068538491
ENSG00000166091	111.963210352345	-5.3571003654072	1.17409377187941	-4.55111634442479	5.33620289756401e-06	0.000852622884892967
ENSG00000132970	47.6073315226135	-5.23895143783469	1.14092266660176	-4.54790258562068	5.41832036198514e-06	0.00085404444192155
ENSG00000177425	41.355898030163	-5.34552929029099	1.16742749301992	-4.53015378920637	5.89407666440904e-06	0.000916646802848895
ENSG00000141854	55.2579791456414	-5.54520675165987	1.22192775050364	-4.50274685525881	6.70807678638607e-06	0.00102951325837378
ENSG00000103056	75.2072484078876	5.68064168331618	1.2601933658688	4.48748557438696	7.20686902168034e-06	0.0010898270668225
ENSG00000197122	111.185669165075	-4.91155753719263	1.08967258065431	-4.48510106586178	7.28793820405995e-06	0.0010898270668225
ENSG00000160991	67.05461594649	-5.29647931208967	1.1784264835127	-4.47651904595469	7.58699026570864e-06	0.00112018549948387
ENSG00000198818	31.9226072186769	-5.11580506789912	1.13251361596895	-4.46503546574199	8.0055489505034e-06	0.0011672090369834
ENSG00000110090	122.099197561928	-4.73766705851256	1.06594332153185	-4.44496606271847	8.7905742868207e-06	0.00126584269730218
ENSG00000128595	113.762664862342	-5.06932913505796	1.13769100107554	-4.43330843371731	9.27979619489504e-06	0.00131999442460068
ENSG00000105983	34.9297360552211	-5.16509300128656	1.15725087398358	-4.41694479076192	1.0010578583031e-05	0.00140678781436715
ENSG00000127511	37.39600444673	-4.48073350874582	1.00776043226111	-4.40399282048269	1.06276461680574e-05	0.00147572458219312
ENSG00000138750	47.7196558647253	-5.39008950612302	1.21619496134305	-4.39762805562586	1.09440316152153e-05	0.00150177864423378
ENSG00000138468	37.1552979476459	-5.20243953997709	1.17296013246618	-4.39234163002008	1.12136309676353e-05	0.00150339990352297
ENSG00000171611	159.464937536636	-5.10587344680842	1.16284685942321	-4.39329120428317	1.11647415816997e-05	0.00150339990352297
ENSG00000117533	38.7415613416929	-4.96145893370359	1.11723865921013	-4.38469205497147	1.16149969888642e-05	0.00153951505543309
ENSG00000082641	29.4735739406366	-5.0107385641513	1.13456037778868	-4.36862622807172	1.25030543080743e-05	0.00161823454931757
ENSG00000123091	595.126061624776	-3.7237580842058	0.852771858501757	-4.36650369654376	1.26251152253e-05	0.00161823454931757
ENSG00000140830	37.9675481452922	-4.9810012681004	1.12981665485232	-4.3684618386649	1.25124675132191e-05	0.00161823454931757
ENSG00000151090	33.8042406320751	-5.1173217794096	1.16089797163905	-4.36408582617508	1.27655455654933e-05	0.00161844916821645
ENSG00000114982	69.4435298952714	-4.9926295328801	1.14628477944376	-4.35014488445341	1.36047611980001e-05	0.00168814824056887
ENSG00000127527	68.4937297458864	-4.81264848064171	1.09848002008689	-4.3504539831745	1.35855964580956e-05	0.00168814824056887
ENSG00000157303	36.3669947463807	-5.16498459000113	1.18079150489834	-4.33311654724611	1.47013231491602e-05	0.00180501298117689
ENSG00000064225	31.5005062722963	-5.04564838641934	1.15389486753548	-4.32930378114245	1.49581479532793e-05	0.00181081082751759
ENSG00000165698	29.0606017079673	-4.98133917234499	1.13960344170411	-4.32564056187568	1.52089248688492e-05	0.00181081082751759
ENSG00000247315	31.0850001711247	-5.03393085377773	1.15215202552466	-4.3255628434136	1.52142885028056e-05	0.00181081082751759
ENSG00000072952	30.9118808566799	-5.02444276972008	1.15326167370995	-4.31371849529233	1.60531331064775e-05	0.00188484053706105
