genes	cluster	FDR
ENSG00000142541	ENSG00000142541	1	4.32488599431896e-199
ENSG00000198242	ENSG00000198242	1	1.48022784421948e-185
ENSG00000156508	ENSG00000156508	1	4.1201875992666e-182
ENSG00000177600	ENSG00000177600	1	2.28461487293781e-152
ENSG00000133112	ENSG00000133112	1	5.29934531095963e-151
ENSG00000186468	ENSG00000186468	1	9.7798793564986e-151
ENSG00000161970	ENSG00000161970	1	1.84616260362104e-149
ENSG00000215021	ENSG00000215021	2	2.07128897024027e-147
ENSG00000185862	ENSG00000185862	1	4.70602739492285e-146
ENSG00000087086	ENSG00000087086	1	1.84108859423026e-145
ENSG00000122406	ENSG00000122406	1	2.61840795097987e-145
ENSG00000101911	ENSG00000101911	2	1.3710603862968e-144
ENSG00000122026	ENSG00000122026	1	2.53009028114787e-144
ENSG00000131469	ENSG00000131469	1	4.31625623984855e-143
ENSG00000266338	ENSG00000266338	1	1.39530856621814e-140
ENSG00000108298	ENSG00000108298	1	2.28157766102771e-139
ENSG00000005059	ENSG00000005059	3	8.12220460995518e-138
ENSG00000135521	ENSG00000135521	3	6.06842651676763e-136
ENSG00000188846	ENSG00000188846	1	9.14782212286853e-136
ENSG00000136936	ENSG00000136936	4	1.2805477164149e-132
ENSG00000196531	ENSG00000196531	1	1.55760936106881e-132
ENSG00000115539	ENSG00000115539	3	1.58432551138026e-132
ENSG00000172809	ENSG00000172809	1	6.78675796654866e-131
ENSG00000198931	ENSG00000198931	1	2.52491595813237e-130
ENSG00000137154	ENSG00000137154	1	7.04554269073891e-129
ENSG00000104765	ENSG00000104765	1	2.4128495620494e-127
ENSG00000177954	ENSG00000177954	1	2.67073414465918e-127
ENSG00000152942	ENSG00000152942	1	5.42838022865286e-127
ENSG00000125691	ENSG00000125691	1	5.98153829935008e-126
ENSG00000244734	ENSG00000244734	1	8.13747680994469e-126
ENSG00000182774	ENSG00000182774	1	1.53018827662801e-125
ENSG00000169019	ENSG00000169019	1	1.5417823264741e-125
ENSG00000144034	ENSG00000144034	1	4.30668413114546e-124
ENSG00000140988	ENSG00000140988	1	4.37642790806253e-123
ENSG00000186469	ENSG00000186469	1	4.90367713730262e-123
ENSG00000140406	ENSG00000140406	2	3.85103239391234e-122
ENSG00000085491	ENSG00000085491	1	1.55064551636333e-121
