FR14_DE	FR58_DE	FR912_DE	FR1619_DE	FR2326_DE	FR3033_DE
ENSG00000164047	FR14	FR58	FR912	FR1619	NA	NA
ENSG00000091106	FR14	FR58	FR912	NA	NA	NA
ENSG00000101425	FR14	FR58	FR912	NA	NA	NA
ENSG00000143546	FR14	FR58	FR912	NA	NA	NA
ENSG00000163220	FR14	FR58	FR912	NA	NA	NA
ENSG00000163221	FR14	FR58	FR912	NA	NA	NA
ENSG00000111261	FR14	FR58	NA	NA	NA	NA
ENSG00000120306	FR14	FR58	NA	NA	NA	NA
ENSG00000132965	FR14	FR58	NA	NA	NA	NA
ENSG00000144589	FR14	FR58	NA	NA	NA	NA
ENSG00000147813	FR14	FR58	NA	NA	NA	NA
ENSG00000170956	FR14	FR58	NA	NA	NA	NA
ENSG00000187808	FR14	FR58	NA	NA	NA	NA
ENSG00000198830	FR14	FR58	NA	NA	NA	NA
ENSG00000205208	FR14	FR58	NA	NA	NA	NA
ENSG00000228716	FR14	FR58	NA	NA	NA	NA
ENSG00000258227	FR14	FR58	NA	NA	NA	NA
ENSG00000132646	FR14	NA	FR912	FR1619	NA	NA
ENSG00000278463	FR14	NA	FR912	FR1619	NA	NA
ENSG00000072401	FR14	NA	FR912	NA	NA	NA
ENSG00000090104	FR14	NA	FR912	NA	NA	NA
ENSG00000100300	FR14	NA	FR912	NA	NA	NA
ENSG00000118520	FR14	NA	FR912	NA	NA	NA
ENSG00000121552	FR14	NA	FR912	NA	NA	NA
ENSG00000137804	FR14	NA	FR912	NA	NA	NA
ENSG00000158825	FR14	NA	FR912	NA	NA	NA
ENSG00000159055	FR14	NA	FR912	NA	NA	NA
ENSG00000178035	FR14	NA	FR912	NA	NA	NA
ENSG00000184357	FR14	NA	FR912	NA	NA	NA
ENSG00000188312	FR14	NA	FR912	NA	NA	NA
ENSG00000198736	FR14	NA	FR912	NA	NA	NA
ENSG00000203760	FR14	NA	FR912	NA	NA	NA
ENSG00000242550	FR14	NA	FR912	NA	NA	NA
ENSG00000164442	FR14	NA	NA	FR1619	FR2326	NA
ENSG00000101247	FR14	NA	NA	FR1619	NA	NA
ENSG00000115271	FR14	NA	NA	FR1619	NA	NA
ENSG00000121316	FR14	NA	NA	NA	FR2326	NA
ENSG00000004139	FR14	NA	NA	NA	NA	NA
ENSG00000022556	FR14	NA	NA	NA	NA	NA
ENSG00000029639	FR14	NA	NA	NA	NA	NA
ENSG00000037241	FR14	NA	NA	NA	NA	NA
ENSG00000037749	FR14	NA	NA	NA	NA	NA
ENSG00000047621	FR14	NA	NA	NA	NA	NA
ENSG00000062282	FR14	NA	NA	NA	NA	NA
ENSG00000071073	FR14	NA	NA	NA	NA	NA
ENSG00000075340	FR14	NA	NA	NA	NA	NA
ENSG00000076248	FR14	NA	NA	NA	NA	NA
ENSG00000084453	FR14	NA	NA	NA	NA	NA
ENSG00000085274	FR14	NA	NA	NA	NA	NA
ENSG00000086300	FR14	NA	NA	NA	NA	NA
ENSG00000089685	FR14	NA	NA	NA	NA	NA
ENSG00000090382	FR14	NA	NA	NA	NA	NA
ENSG00000091483	FR14	NA	NA	NA	NA	NA
ENSG00000092067	FR14	NA	NA	NA	NA	NA
ENSG00000099194	FR14	NA	NA	NA	NA	NA
ENSG00000100448	FR14	NA	NA	NA	NA	NA
ENSG00000101220	FR14	NA	NA	NA	NA	NA
ENSG00000102543	FR14	NA	NA	NA	NA	NA
ENSG00000102837	FR14	NA	NA	NA	NA	NA
ENSG00000105205	FR14	NA	NA	NA	NA	NA
ENSG00000105383	FR14	NA	NA	NA	NA	NA
ENSG00000105607	FR14	NA	NA	NA	NA	NA
ENSG00000105835	FR14	NA	NA	NA	NA	NA
ENSG00000111144	FR14	NA	NA	NA	NA	NA
ENSG00000111206	FR14	NA	NA	NA	NA	NA
ENSG00000111266	FR14	NA	NA	NA	NA	NA
ENSG00000112773	FR14	NA	NA	NA	NA	NA
ENSG00000115163	FR14	NA	NA	NA	NA	NA
ENSG00000115486	FR14	NA	NA	NA	NA	NA
ENSG00000118513	FR14	NA	NA	NA	NA	NA
ENSG00000120875	FR14	NA	NA	NA	NA	NA
ENSG00000120889	FR14	NA	NA	NA	NA	NA
ENSG00000123700	FR14	NA	NA	NA	NA	NA
ENSG00000124107	FR14	NA	NA	NA	NA	NA
ENSG00000124469	FR14	NA	NA	NA	NA	NA
ENSG00000124659	FR14	NA	NA	NA	NA	NA
ENSG00000127954	FR14	NA	NA	NA	NA	NA
ENSG00000128274	FR14	NA	NA	NA	NA	NA
ENSG00000128951	FR14	NA	NA	NA	NA	NA
ENSG00000130305	FR14	NA	NA	NA	NA	NA
ENSG00000131153	FR14	NA	NA	NA	NA	NA
ENSG00000132749	FR14	NA	NA	NA	NA	NA
ENSG00000133048	FR14	NA	NA	NA	NA	NA
ENSG00000134690	FR14	NA	NA	NA	NA	NA
ENSG00000135046	FR14	NA	NA	NA	NA	NA
ENSG00000135069	FR14	NA	NA	NA	NA	NA
ENSG00000135205	FR14	NA	NA	NA	NA	NA
ENSG00000135636	FR14	NA	NA	NA	NA	NA
ENSG00000137700	FR14	NA	NA	NA	NA	NA
ENSG00000139178	FR14	NA	NA	NA	NA	NA
ENSG00000140534	FR14	NA	NA	NA	NA	NA
ENSG00000142583	FR14	NA	NA	NA	NA	NA
ENSG00000142945	FR14	NA	NA	NA	NA	NA
ENSG00000145386	FR14	NA	NA	NA	NA	NA
ENSG00000148655	FR14	NA	NA	NA	NA	NA
ENSG00000156873	FR14	NA	NA	NA	NA	NA
ENSG00000157693	FR14	NA	NA	NA	NA	NA
ENSG00000159496	FR14	NA	NA	NA	NA	NA
ENSG00000163191	FR14	NA	NA	NA	NA	NA
ENSG00000163235	FR14	NA	NA	NA	NA	NA
ENSG00000163563	FR14	NA	NA	NA	NA	NA
ENSG00000164961	FR14	NA	NA	NA	NA	NA
ENSG00000165886	FR14	NA	NA	NA	NA	NA
ENSG00000166523	FR14	NA	NA	NA	NA	NA
ENSG00000166851	FR14	NA	NA	NA	NA	NA
ENSG00000167508	FR14	NA	NA	NA	NA	NA
ENSG00000167513	FR14	NA	NA	NA	NA	NA
ENSG00000167637	FR14	NA	NA	NA	NA	NA
ENSG00000168060	FR14	NA	NA	NA	NA	NA
ENSG00000168528	FR14	NA	NA	NA	NA	NA
ENSG00000168995	FR14	NA	NA	NA	NA	NA
ENSG00000169021	FR14	NA	NA	NA	NA	NA
ENSG00000169567	FR14	NA	NA	NA	NA	NA
ENSG00000171557	FR14	NA	NA	NA	NA	NA
ENSG00000171970	FR14	NA	NA	NA	NA	NA
ENSG00000172890	FR14	NA	NA	NA	NA	NA
ENSG00000173013	FR14	NA	NA	NA	NA	NA
ENSG00000173369	FR14	NA	NA	NA	NA	NA
ENSG00000175322	FR14	NA	NA	NA	NA	NA
ENSG00000176890	FR14	NA	NA	NA	NA	NA
ENSG00000177409	FR14	NA	NA	NA	NA	NA
ENSG00000179862	FR14	NA	NA	NA	NA	NA
ENSG00000185201	FR14	NA	NA	NA	NA	NA
ENSG00000185482	FR14	NA	NA	NA	NA	NA
ENSG00000186854	FR14	NA	NA	NA	NA	NA
ENSG00000188761	FR14	NA	NA	NA	NA	NA
ENSG00000188906	FR14	NA	NA	NA	NA	NA
ENSG00000213390	FR14	NA	NA	NA	NA	NA
ENSG00000221909	FR14	NA	NA	NA	NA	NA
ENSG00000240891	FR14	NA	NA	NA	NA	NA
ENSG00000253250	FR14	NA	NA	NA	NA	NA
ENSG00000254093	FR14	NA	NA	NA	NA	NA
ENSG00000272398	FR14	NA	NA	NA	NA	NA
ENSG00000273983	FR14	NA	NA	NA	NA	NA
ENSG00000274267	FR14	NA	NA	NA	NA	NA
ENSG00000276903	FR14	NA	NA	NA	NA	NA
ENSG00000143520	NA	FR58	FR912	NA	FR2326	NA
ENSG00000179388	NA	FR58	FR912	NA	FR2326	NA
ENSG00000203786	NA	FR58	FR912	NA	FR2326	NA
ENSG00000005381	NA	FR58	FR912	NA	NA	NA
ENSG00000008438	NA	FR58	FR912	NA	NA	NA
ENSG00000065618	NA	FR58	FR912	NA	NA	NA
ENSG00000095383	NA	FR58	FR912	NA	NA	NA
ENSG00000103056	NA	FR58	FR912	NA	NA	NA
ENSG00000103248	NA	FR58	FR912	NA	NA	NA
ENSG00000132470	NA	FR58	FR912	NA	NA	NA
ENSG00000161714	NA	FR58	FR912	NA	NA	NA
ENSG00000162407	NA	FR58	FR912	NA	NA	NA
ENSG00000163138	NA	FR58	FR912	NA	NA	NA
ENSG00000167767	NA	FR58	FR912	NA	NA	NA
ENSG00000169385	NA	FR58	FR912	NA	NA	NA
ENSG00000187815	NA	FR58	FR912	NA	NA	NA
ENSG00000196188	NA	FR58	FR912	NA	NA	NA
ENSG00000237649	NA	FR58	FR912	NA	NA	NA
ENSG00000240563	NA	FR58	FR912	NA	NA	NA
ENSG00000034533	NA	FR58	NA	FR1619	NA	NA
ENSG00000087995	NA	FR58	NA	FR1619	NA	NA
ENSG00000198783	NA	FR58	NA	FR1619	NA	NA
ENSG00000263002	NA	FR58	NA	FR1619	NA	NA
ENSG00000100284	NA	FR58	NA	NA	FR2326	NA
ENSG00000156299	NA	FR58	NA	NA	FR2326	NA
ENSG00000004809	NA	FR58	NA	NA	NA	NA
ENSG00000005884	NA	FR58	NA	NA	NA	NA
ENSG00000006757	NA	FR58	NA	NA	NA	NA
ENSG00000008516	NA	FR58	NA	NA	NA	NA
ENSG00000011376	NA	FR58	NA	NA	NA	NA
ENSG00000014919	NA	FR58	NA	NA	NA	NA
ENSG00000024526	NA	FR58	NA	NA	NA	NA
ENSG00000025434	NA	FR58	NA	NA	NA	NA
ENSG00000038945	NA	FR58	NA	NA	NA	NA
ENSG00000040275	NA	FR58	NA	NA	NA	NA
ENSG00000049167	NA	FR58	NA	NA	NA	NA
ENSG00000050327	NA	FR58	NA	NA	NA	NA
ENSG00000059573	NA	FR58	NA	NA	NA	NA
ENSG00000063169	NA	FR58	NA	NA	NA	NA
ENSG00000065268	NA	FR58	NA	NA	NA	NA
ENSG00000069188	NA	FR58	NA	NA	NA	NA
ENSG00000069974	NA	FR58	NA	NA	NA	NA
ENSG00000075218	NA	FR58	NA	NA	NA	NA
ENSG00000079385	NA	FR58	NA	NA	NA	NA
ENSG00000079435	NA	FR58	NA	NA	NA	NA
ENSG00000080986	NA	FR58	NA	NA	NA	NA
ENSG00000086544	NA	FR58	NA	NA	NA	NA
ENSG00000093134	NA	FR58	NA	NA	NA	NA
ENSG00000094804	NA	FR58	NA	NA	NA	NA
ENSG00000100985	NA	FR58	NA	NA	NA	NA
ENSG00000103254	NA	FR58	NA	NA	NA	NA
ENSG00000104679	NA	FR58	NA	NA	NA	NA
ENSG00000104689	NA	FR58	NA	NA	NA	NA
ENSG00000104938	NA	FR58	NA	NA	NA	NA
ENSG00000105204	NA	FR58	NA	NA	NA	NA
ENSG00000105538	NA	FR58	NA	NA	NA	NA
ENSG00000105875	NA	FR58	NA	NA	NA	NA
ENSG00000107443	NA	FR58	NA	NA	NA	NA
ENSG00000108771	NA	FR58	NA	NA	NA	NA
ENSG00000108821	NA	FR58	NA	NA	NA	NA
ENSG00000109743	NA	FR58	NA	NA	NA	NA
ENSG00000110042	NA	FR58	NA	NA	NA	NA
ENSG00000110448	NA	FR58	NA	NA	NA	NA
ENSG00000114993	NA	FR58	NA	NA	NA	NA
ENSG00000115750	NA	FR58	NA	NA	NA	NA
ENSG00000117143	NA	FR58	NA	NA	NA	NA
ENSG00000117643	NA	FR58	NA	NA	NA	NA
ENSG00000118939	NA	FR58	NA	NA	NA	NA
ENSG00000119711	NA	FR58	NA	NA	NA	NA
ENSG00000120697	NA	FR58	NA	NA	NA	NA
ENSG00000121281	NA	FR58	NA	NA	NA	NA
ENSG00000121940	NA	FR58	NA	NA	NA	NA
ENSG00000122678	NA	FR58	NA	NA	NA	NA
ENSG00000122952	NA	FR58	NA	NA	NA	NA
ENSG00000123415	NA	FR58	NA	NA	NA	NA
ENSG00000123496	NA	FR58	NA	NA	NA	NA
ENSG00000125149	NA	FR58	NA	NA	NA	NA
ENSG00000125630	NA	FR58	NA	NA	NA	NA
ENSG00000125844	NA	FR58	NA	NA	NA	NA
ENSG00000128228	NA	FR58	NA	NA	NA	NA
ENSG00000129103	NA	FR58	NA	NA	NA	NA
ENSG00000129173	NA	FR58	NA	NA	NA	NA
ENSG00000129255	NA	FR58	NA	NA	NA	NA
ENSG00000130309	NA	FR58	NA	NA	NA	NA
ENSG00000131373	NA	FR58	NA	NA	NA	NA
ENSG00000131943	NA	FR58	NA	NA	NA	NA
ENSG00000131944	NA	FR58	NA	NA	NA	NA
ENSG00000132141	NA	FR58	NA	NA	NA	NA
ENSG00000133111	NA	FR58	NA	NA	NA	NA
ENSG00000134627	NA	FR58	NA	NA	NA	NA
ENSG00000135503	NA	FR58	NA	NA	NA	NA
ENSG00000137714	NA	FR58	NA	NA	NA	NA
ENSG00000138002	NA	FR58	NA	NA	NA	NA
ENSG00000138678	NA	FR58	NA	NA	NA	NA
ENSG00000138772	NA	FR58	NA	NA	NA	NA
ENSG00000138780	NA	FR58	NA	NA	NA	NA
ENSG00000139187	NA	FR58	NA	NA	NA	NA
ENSG00000139291	NA	FR58	NA	NA	NA	NA
ENSG00000139626	NA	FR58	NA	NA	NA	NA
ENSG00000139645	NA	FR58	NA	NA	NA	NA
ENSG00000140365	NA	FR58	NA	NA	NA	NA
ENSG00000141837	NA	FR58	NA	NA	NA	NA
ENSG00000142207	NA	FR58	NA	NA	NA	NA
ENSG00000142252	NA	FR58	NA	NA	NA	NA
ENSG00000142733	NA	FR58	NA	NA	NA	NA
ENSG00000142910	NA	FR58	NA	NA	NA	NA
ENSG00000144354	NA	FR58	NA	NA	NA	NA
ENSG00000144535	NA	FR58	NA	NA	NA	NA
ENSG00000145569	NA	FR58	NA	NA	NA	NA
ENSG00000148814	NA	FR58	NA	NA	NA	NA
ENSG00000148835	NA	FR58	NA	NA	NA	NA
ENSG00000150337	NA	FR58	NA	NA	NA	NA
ENSG00000150787	NA	FR58	NA	NA	NA	NA
ENSG00000151014	NA	FR58	NA	NA	NA	NA
ENSG00000152439	NA	FR58	NA	NA	NA	NA
ENSG00000154319	NA	FR58	NA	NA	NA	NA
ENSG00000155966	NA	FR58	NA	NA	NA	NA
ENSG00000156049	NA	FR58	NA	NA	NA	NA
ENSG00000156239	NA	FR58	NA	NA	NA	NA
ENSG00000156853	NA	FR58	NA	NA	NA	NA
ENSG00000157617	NA	FR58	NA	NA	NA	NA
ENSG00000160447	NA	FR58	NA	NA	NA	NA
ENSG00000161914	NA	FR58	NA	NA	NA	NA
ENSG00000162063	NA	FR58	NA	NA	NA	NA
ENSG00000162298	NA	FR58	NA	NA	NA	NA
ENSG00000162512	NA	FR58	NA	NA	NA	NA
ENSG00000165304	NA	FR58	NA	NA	NA	NA
ENSG00000165355	NA	FR58	NA	NA	NA	NA
ENSG00000165617	NA	FR58	NA	NA	NA	NA
ENSG00000166261	NA	FR58	NA	NA	NA	NA
ENSG00000167333	NA	FR58	NA	NA	NA	NA
ENSG00000167470	NA	FR58	NA	NA	NA	NA
ENSG00000167703	NA	FR58	NA	NA	NA	NA
ENSG00000167925	NA	FR58	NA	NA	NA	NA
ENSG00000168005	NA	FR58	NA	NA	NA	NA
ENSG00000168411	NA	FR58	NA	NA	NA	NA
ENSG00000168936	NA	FR58	NA	NA	NA	NA
ENSG00000169116	NA	FR58	NA	NA	NA	NA
ENSG00000169118	NA	FR58	NA	NA	NA	NA
ENSG00000170085	NA	FR58	NA	NA	NA	NA
ENSG00000170677	NA	FR58	NA	NA	NA	NA
ENSG00000170946	NA	FR58	NA	NA	NA	NA
ENSG00000171848	NA	FR58	NA	NA	NA	NA
ENSG00000172232	NA	FR58	NA	NA	NA	NA
ENSG00000173715	NA	FR58	NA	NA	NA	NA
ENSG00000174996	NA	FR58	NA	NA	NA	NA
ENSG00000176142	NA	FR58	NA	NA	NA	NA
ENSG00000176410	NA	FR58	NA	NA	NA	NA
ENSG00000177426	NA	FR58	NA	NA	NA	NA
ENSG00000178229	NA	FR58	NA	NA	NA	NA
ENSG00000178234	NA	FR58	NA	NA	NA	NA
ENSG00000178397	NA	FR58	NA	NA	NA	NA
ENSG00000178700	NA	FR58	NA	NA	NA	NA
ENSG00000178921	NA	FR58	NA	NA	NA	NA
ENSG00000179750	NA	FR58	NA	NA	NA	NA
ENSG00000179909	NA	FR58	NA	NA	NA	NA
ENSG00000180228	NA	FR58	NA	NA	NA	NA
ENSG00000182118	NA	FR58	NA	NA	NA	NA
ENSG00000184220	NA	FR58	NA	NA	NA	NA
ENSG00000184635	NA	FR58	NA	NA	NA	NA
ENSG00000186074	NA	FR58	NA	NA	NA	NA
ENSG00000186106	NA	FR58	NA	NA	NA	NA
ENSG00000186300	NA	FR58	NA	NA	NA	NA
ENSG00000186431	NA	FR58	NA	NA	NA	NA
ENSG00000188130	NA	FR58	NA	NA	NA	NA
ENSG00000188997	NA	FR58	NA	NA	NA	NA
ENSG00000189420	NA	FR58	NA	NA	NA	NA
ENSG00000196150	NA	FR58	NA	NA	NA	NA
ENSG00000196151	NA	FR58	NA	NA	NA	NA
ENSG00000196152	NA	FR58	NA	NA	NA	NA
ENSG00000196312	NA	FR58	NA	NA	NA	NA
ENSG00000196415	NA	FR58	NA	NA	NA	NA
ENSG00000198520	NA	FR58	NA	NA	NA	NA
ENSG00000198929	NA	FR58	NA	NA	NA	NA
ENSG00000204822	NA	FR58	NA	NA	NA	NA
ENSG00000205659	NA	FR58	NA	NA	NA	NA
ENSG00000213930	NA	FR58	NA	NA	NA	NA
ENSG00000232653	NA	FR58	NA	NA	NA	NA
ENSG00000235173	NA	FR58	NA	NA	NA	NA
ENSG00000256087	NA	FR58	NA	NA	NA	NA
ENSG00000256771	NA	FR58	NA	NA	NA	NA
ENSG00000105610	NA	NA	FR912	FR1619	NA	NA
ENSG00000133773	NA	NA	FR912	FR1619	NA	NA
