FR14_DE	FR58_DE	FR912_DE
ENSG00000108821	FR14	FR58	NA
ENSG00000113905	FR14	FR58	NA
ENSG00000171557	FR14	FR58	NA
ENSG00000004139	FR14	NA	NA
ENSG00000092068	FR14	NA	NA
ENSG00000113889	FR14	NA	NA
ENSG00000131153	FR14	NA	NA
ENSG00000136052	FR14	NA	NA
ENSG00000143248	FR14	NA	NA
ENSG00000149257	FR14	NA	NA
ENSG00000163251	FR14	NA	NA
ENSG00000182326	FR14	NA	NA
ENSG00000196616	FR14	NA	NA
ENSG00000084674	NA	FR58	FR912
ENSG00000158874	NA	FR58	FR912
ENSG00000001460	NA	FR58	NA
ENSG00000021645	NA	FR58	NA
ENSG00000022976	NA	FR58	NA
ENSG00000025434	NA	FR58	NA
ENSG00000047457	NA	FR58	NA
ENSG00000048140	NA	FR58	NA
ENSG00000054967	NA	FR58	NA
ENSG00000064787	NA	FR58	NA
ENSG00000076864	NA	FR58	NA
ENSG00000080823	NA	FR58	NA
ENSG00000085563	NA	FR58	NA
ENSG00000087995	NA	FR58	NA
ENSG00000090857	NA	FR58	NA
ENSG00000091513	NA	FR58	NA
ENSG00000091583	NA	FR58	NA
ENSG00000093217	NA	FR58	NA
ENSG00000094804	NA	FR58	NA
ENSG00000100577	NA	FR58	NA
ENSG00000101670	NA	FR58	NA
ENSG00000103249	NA	FR58	NA
ENSG00000103852	NA	FR58	NA
ENSG00000104722	NA	FR58	NA
ENSG00000104783	NA	FR58	NA
ENSG00000105854	NA	FR58	NA
ENSG00000105855	NA	FR58	NA
ENSG00000105875	NA	FR58	NA
ENSG00000106692	NA	FR58	NA
ENSG00000107614	NA	FR58	NA
ENSG00000110400	NA	FR58	NA
ENSG00000111412	NA	FR58	NA
ENSG00000111816	NA	FR58	NA
ENSG00000113555	NA	FR58	NA
ENSG00000114853	NA	FR58	NA
ENSG00000116285	NA	FR58	NA
ENSG00000116690	NA	FR58	NA
ENSG00000120697	NA	FR58	NA
ENSG00000121940	NA	FR58	NA
ENSG00000124006	NA	FR58	NA
ENSG00000124225	NA	FR58	NA
ENSG00000125730	NA	FR58	NA
ENSG00000125731	NA	FR58	NA
ENSG00000125844	NA	FR58	NA
ENSG00000127241	NA	FR58	NA
ENSG00000128228	NA	FR58	NA
ENSG00000130208	NA	FR58	NA
ENSG00000131773	NA	FR58	NA
ENSG00000132664	NA	FR58	NA
ENSG00000133477	NA	FR58	NA
ENSG00000135503	NA	FR58	NA
ENSG00000139187	NA	FR58	NA
ENSG00000139291	NA	FR58	NA
ENSG00000140365	NA	FR58	NA
ENSG00000140937	NA	FR58	NA
ENSG00000141040	NA	FR58	NA
ENSG00000141622	NA	FR58	NA
ENSG00000141837	NA	FR58	NA
ENSG00000143258	NA	FR58	NA
ENSG00000144535	NA	FR58	NA
ENSG00000145569	NA	FR58	NA
ENSG00000147174	NA	FR58	NA
ENSG00000148584	NA	FR58	NA
ENSG00000150787	NA	FR58	NA
ENSG00000151892	NA	FR58	NA
