FR14_DE	FR58_DE	FR912_DE	FR1619_DE	FR2326_DE
ENSG00000196565	FR14	FR58	FR912	FR1619	NA
ENSG00000136052	FR14	FR58	NA	NA	NA
ENSG00000169894	FR14	FR58	NA	NA	NA
ENSG00000213934	FR14	NA	FR912	NA	NA
ENSG00000163586	FR14	NA	NA	FR1619	NA
ENSG00000004139	FR14	NA	NA	NA	NA
ENSG00000039068	FR14	NA	NA	NA	NA
ENSG00000062282	FR14	NA	NA	NA	NA
ENSG00000076351	FR14	NA	NA	NA	NA
ENSG00000102837	FR14	NA	NA	NA	NA
ENSG00000103534	FR14	NA	NA	NA	NA
ENSG00000104635	FR14	NA	NA	NA	NA
ENSG00000119938	FR14	NA	NA	NA	NA
ENSG00000120875	FR14	NA	NA	NA	NA
ENSG00000123700	FR14	NA	NA	NA	NA
ENSG00000125246	FR14	NA	NA	NA	NA
ENSG00000131153	FR14	NA	NA	NA	NA
ENSG00000133488	FR14	NA	NA	NA	NA
ENSG00000133742	FR14	NA	NA	NA	NA
ENSG00000134755	FR14	NA	NA	NA	NA
ENSG00000140391	FR14	NA	NA	NA	NA
ENSG00000142945	FR14	NA	NA	NA	NA
ENSG00000149257	FR14	NA	NA	NA	NA
ENSG00000158578	FR14	NA	NA	NA	NA
ENSG00000158747	FR14	NA	NA	NA	NA
ENSG00000163251	FR14	NA	NA	NA	NA
ENSG00000166851	FR14	NA	NA	NA	NA
ENSG00000168528	FR14	NA	NA	NA	NA
ENSG00000171557	FR14	NA	NA	NA	NA
ENSG00000176771	FR14	NA	NA	NA	NA
ENSG00000186854	FR14	NA	NA	NA	NA
ENSG00000188761	FR14	NA	NA	NA	NA
ENSG00000205277	FR14	NA	NA	NA	NA
ENSG00000221926	FR14	NA	NA	NA	NA
ENSG00000223609	FR14	NA	NA	NA	NA
ENSG00000250361	FR14	NA	NA	NA	NA
ENSG00000253250	FR14	NA	NA	NA	NA
ENSG00000004809	NA	FR58	NA	NA	NA
ENSG00000014919	NA	FR58	NA	NA	NA
ENSG00000040275	NA	FR58	NA	NA	NA
ENSG00000048140	NA	FR58	NA	NA	NA
ENSG00000054967	NA	FR58	NA	NA	NA
ENSG00000065268	NA	FR58	NA	NA	NA
ENSG00000073008	NA	FR58	NA	NA	NA
ENSG00000075218	NA	FR58	NA	NA	NA
ENSG00000076864	NA	FR58	NA	NA	NA
ENSG00000084674	NA	FR58	NA	NA	NA
ENSG00000090857	NA	FR58	NA	NA	NA
ENSG00000104889	NA	FR58	NA	NA	NA
ENSG00000105357	NA	FR58	NA	NA	NA
