Sample	Exon	Intron	Intergenic
EV001	0.916270432	0.06630644	0.017423128
EV002	0.74018067	0.196688798	0.063130532
EV003	0.247446094	0.545097431	0.207456476
EV004	0.342036268	0.478961225	0.179002507
EV005	0.166695335	0.609321828	0.223982837
EV006	0.461120543	0.400671128	0.138208329
EV007	0.951283032	0.042126532	0.006590436
EV008	0.707145263	0.220085748	0.07276899
EV009	0.551213041	0.333400856	0.115386102
EV010	0.628787361	0.277714455	0.093498184
EV011	0.34208068	0.478851983	0.179067337
EV012	0.443366619	0.407357556	0.149275824
EV013	0.959618087	0.03131452	0.009067393
EV014	0.924318287	0.058782169	0.016899544
EV015	0.668333641	0.244550209	0.08711615
EV016	0.115292896	0.635651478	0.249055626
EV017	0.414250543	0.430460986	0.155288472
EV018	0.623394275	0.262913853	0.113691872
EV019	0.94312003	0.048144673	0.008735297
EV020	0.779527897	0.166934738	0.053537365
EV021	0.386628535	0.445518134	0.167853331
EV022	0.078202398	0.666832066	0.254965537
EV023	0.115859148	0.643532551	0.240608301
EV024	0.198398196	0.593606614	0.207995191
EV025	0.936923748	0.055150513	0.00792574
EV026	0.746955832	0.192295104	0.060749064
EV027	0.259846294	0.54763969	0.192514016
EV028	0.149284514	0.618793324	0.231922161
EV029	0.270070707	0.539255355	0.190673938
EV030	0.434108952	0.425609437	0.140281611
EV031	0.947779209	0.043281916	0.008938875
EV032	0.923204742	0.061091865	0.015703393
EV033	0.824917517	0.132279219	0.042803264
EV034	0.515328141	0.353424071	0.131247787
EV035	0.770617978	0.167560232	0.061821791
EV036	0.678079713	0.238785356	0.083134931
EV037	0.899203725	0.077592262	0.023204013
EV038	0.951353889	0.040014344	0.008631767
EV039	0.909365573	0.069074798	0.02155963
EV040	0.871658124	0.097242697	0.031099179
EV041	0.761135827	0.177519937	0.061344236
EV042	0.158833455	0.614895694	0.226270851
EV043	0.950453424	0.041968187	0.007578389
EV044	0.915564474	0.065829591	0.018605935
EV045	0.496970937	0.370687887	0.132341176
EV046	0.221895453	0.568538004	0.209566543
EV047	0.300272346	0.51090393	0.188823724
EV048	0.129612433	0.630972279	0.239415287
EV049	0.929710121	0.060961785	0.009328094
EV050	0.925432347	0.062654287	0.011913366
EV051	0.586457091	0.305062516	0.108480393
EV052	0.143072642	0.620044171	0.236883187
EV053	0.096287048	0.65292411	0.250788841
EV054	0.356824011	0.485714462	0.157461527
EV055	0.953419388	0.037109568	0.009471044
EV056	0.949950249	0.040013795	0.010035955
EV057	0.900473709	0.075063779	0.024462512
EV058	0.800006283	0.147973597	0.05202012
EV059	0.336399605	0.479335658	0.184264737
EV060	0.868936526	0.096736675	0.034326798
EV061	0.946525541	0.045268948	0.008205511
EV062	0.919082504	0.066889424	0.014028071
EV063	0.820252379	0.137529692	0.042217929
EV064	0.623842671	0.281211429	0.0949459
EV065	0.079338963	0.655441936	0.265219101
EV066	0.069628282	0.662348433	0.268023285
EV067	0.946701028	0.045312555	0.007986418
EV068	0.934587094	0.054339439	0.011073466
EV069	0.653039559	0.256313701	0.09064674
EV070	0.539217729	0.333740819	0.127041452
EV071	0.785243419	0.158198395	0.056558186
EV072	0.853531797	0.108310509	0.038157694
EV073	0.948732323	0.044461722	0.006805956
EV074	0.909155713	0.073703445	0.017140841
EV075	0.561331418	0.328205363	0.110463219
EV076	0.335079841	0.482922173	0.181997986
EV077	0.260316985	0.535796447	0.203886568
EV078	0.213825468	0.579916073	0.206258459
EV079	0.922696007	0.065808835	0.011495158
EV080	0.729707992	0.204308687	0.065983321
EV081	0.550186509	0.341108918	0.108704574
EV082	0.270503046	0.54798664	0.181510313
EV083	0.245494049	0.567249081	0.187256871
EV084	0.293295216	0.528651289	0.178053495
EV085	0.959541336	0.032269617	0.008189047
EV086	0.9417555	0.045921658	0.012322842
EV087	0.474912078	0.401335587	0.123752335
EV088	0.252582483	0.543540718	0.203876799
EV089	0.262441623	0.528496251	0.209062127
EV090	0.186042803	0.588627058	0.225330139
EV091	0.958125858	0.032540466	0.009333676
EV092	0.606824466	0.293291286	0.099884248
EV093	0.499049412	0.375434175	0.125516413
EV094	0.378916993	0.431847173	0.189235835
EV095	0.171107657	0.594002551	0.234889792
EV096	0.284264494	0.518783227	0.19695228
EV097	0.954138399	0.036145929	0.009715672
EV098	0.883944159	0.096786705	0.019269137
EV099	0.646499916	0.260056999	0.093443085
EV100	0.428091578	0.41811789	0.153790532
EV101	0.103428159	0.655324239	0.241247602
EV102	0.60650935	0.290999148	0.102491502
EV103	0.96018074	0.031285607	0.008533653
EV104	0.934662192	0.05080564	0.014532168
EV105	0.847633689	0.115260073	0.037106238
EV106	0.337506412	0.482982738	0.179510849
EV107	0.690420437	0.225919217	0.083660346
EV108	0.671725482	0.233909428	0.09436509
EV109	0.953846319	0.036889856	0.009263825
EV110	0.944146211	0.043313509	0.01254028
EV111	0.76337483	0.171430485	0.065194684
EV112	0.405093369	0.432975197	0.161931434
EV113	0.333592499	0.486991566	0.179415936
EV114	0.624863994	0.272648712	0.102487295
EV115	0.966845215	0.026013616	0.007141169
EV116	0.937536496	0.048681711	0.013781793
EV117	0.868586472	0.09807577	0.033337759
EV118	0.551457304	0.323932338	0.124610358
EV119	0.630751304	0.267909866	0.101338831
EV120	0.472366353	0.383096034	0.144537613
EV121	0.950828523	0.038605095	0.010566382
EV122	0.883082845	0.088743811	0.028173344
EV123	0.204711587	0.579080607	0.216207806
EV124	0.132170884	0.622657787	0.245171328
EV125	0.153715408	0.60361419	0.242670402
EV126	0.190202518	0.607860895	0.201936587
EV127	0.946820718	0.042829032	0.01035025
EV128	0.868181531	0.101522641	0.030295828
EV129	0.386816674	0.455489762	0.157693564
EV130	0.087661412	0.668465944	0.243872644
EV131	0.118354859	0.632706225	0.248938915
EV132	0.174189353	0.608251075	0.217559573
EV133	0.946643853	0.042115997	0.011240149
EV134	0.891941077	0.08336139	0.024697533
EV135	0.090248406	0.672248375	0.237503219
EV136	0.181102857	0.60004566	0.218851483
EV137	0.076780788	0.678487972	0.24473124
EV138	0.26594525	0.573477134	0.160577617
EV139	0.939570367	0.044220273	0.01620936
EV140	0.856773095	0.107668786	0.035558119
EV141	0.649289447	0.257052723	0.09365783
EV142	0.319280214	0.496312014	0.184407773
EV143	0.127664169	0.631597622	0.240738209
EV144	0.45975394	0.389937248	0.150308812
EV145	0.938574056	0.050343775	0.01108217
EV146	0.413000627	0.428927877	0.158071495
EV147	0.407634721	0.430646006	0.161719273
EV148	0.176246085	0.591286221	0.232467694
EV149	0.20288859	0.577135195	0.219976215
EV150	0.235672719	0.560671177	0.203656104
EV151	0.957461612	0.035693983	0.006844405
EV152	0.939071007	0.047879315	0.013049678
EV153	0.858130459	0.106331689	0.035537852
EV154	0.396647101	0.434265905	0.169086994
EV155	0.292307513	0.513697841	0.193994646
EV156	0.500896572	0.354444088	0.14465934
EV157	0.931760265	0.055049714	0.013190021
EV158	0.853340656	0.111339173	0.035320172
EV159	0.367498497	0.462128855	0.170372648
EV160	0.22149385	0.558087976	0.220418173
EV161	0.335745883	0.475629602	0.188624515
EV162	0.512183748	0.360949829	0.126866422
EV163	0.947136156	0.03982587	0.013037974
EV164	0.845911752	0.117123367	0.036964881
EV165	0.440427699	0.409902122	0.149670179
EV166	0.092072334	0.666156017	0.241771649
EV167	0.124495079	0.629613674	0.245891247
EV168	0.202639161	0.55840717	0.238953669
