SampleID	InputRead	UniqueRead	%UniqueReads
EV001	60931764	3633421	5.963098327
EV002	109867056	7679169	6.989510122
EV003	45796543	997260	2.177587946
EV004	48855485	234481	0.479948157
EV005	51412115	752596	1.463849523
EV006	41437684	216060	0.521409449
EV007	53034581	6989023	13.17823742
EV008	53319829	6221000	11.66732924
EV009	42322561	927711	2.192001094
EV010	53687345	270188	0.503261988
EV011	54299702	584022	1.075552864
EV012	56517608	223293	0.395085723
EV013	73524355	24827647	33.76792221
EV014	53669206	6555966	12.21550772
EV015	48732051	1815151	3.724758065
EV016	50818027	11577676	22.7826161
EV017	60422653	427182	0.706989811
EV018	44644535	359399	0.805023504
EV019	53110775	7988112	15.04047343
EV020	49971024	1897301	3.796802323
EV021	64982107	1089267	1.676256819
EV022	48002551	11482877	23.92138909
EV023	53494157	1104360	2.064449768
EV024	48506989	423115	0.872276364
EV025	68893786	4582332	6.651299436
EV026	48353045	2939140	6.07850033
EV027	60557012	1343498	2.218567191
EV028	48106607	738349	1.534818284
EV029	40927094	392738	0.959603924
EV030	42271809	122648	0.290141356
EV031	66501570	12712173	19.11559832
EV032	57321401	11246825	19.62063872
EV033	47078419	2120004	4.503133378
EV034	44785343	2165634	4.8355865
EV035	67550041	748200	1.10762331
EV036	40064056	929212	2.319315848
EV037	57347304	4403431	7.678531845
EV038	56046775	2390734	4.265604934
EV039	73819213	1256903	1.702677323
EV040	41544327	484669	1.166631006
EV041	47745759	385351	0.807089484
EV042	44981571	1388325	3.086430663
EV043	62677123	12505770	19.95268672
EV044	63841011	12784463	20.02547077
EV045	57274322	2699124	4.71262497
EV046	48534137	4784046	9.857074413
EV047	60295606	817548	1.355899798
EV048	49341198	1560386	3.162440442
EV049	50569300	6087636	12.038205
EV050	49221361	4837610	9.828273542
EV051	58867220	1160744	1.971800265
EV052	46380529	853132	1.839418434
EV053	44745229	725952	1.622412079
EV054	40069815	138945	0.346757279
EV055	54945593	19016826	34.6102844
EV056	50687275	8281059	16.3375502
EV057	53208660	1746027	3.281471475
EV058	46508034	1286946	2.767147715
EV059	47773844	1088803	2.279077648
EV060	38746785	324846	0.838381817
EV061	63463562	3698564	5.827854415
EV062	46651631	945288	2.026269993
EV063	50024024	171483	0.342801291
EV064	39217713	169587	0.432424502
EV065	48833969	22959407	47.01523851
EV066	31417066	5410321	17.22096201
EV067	47452596	6295016	13.26590436
EV068	46570053	4222615	9.067232541
EV069	43072933	2220549	5.155323414
EV070	45586782	1419793	3.114483931
EV071	45169191	710782	1.573599138
EV072	43294141	618708	1.429080207
EV073	64441441	6878981	10.67477836
EV074	51828520	1733152	3.344012138
EV075	44412066	404398	0.910558856
EV076	35427946	217465	0.613823336
EV077	50805289	245331	0.482884764
EV078	38077045	141049	0.370430531
EV079	50486755	3603390	7.137297693
