"","NumDiffGenes","Actual"
"1",1,7
"2",3,7
"3",3,7
"4",2,7
"5",0,7
"6",0,7
"7",7,7
"8",1818,7
"9",0,7
"10",0,7
"11",0,7
"12",0,7
"13",3,7
"14",5,7
"15",0,7
"16",0,7
"17",0,7
"18",5,7
"19",5,7
"20",4,7
"21",2050,7
"22",22,7
"23",1,7
"24",272,7
"25",0,7
"26",3,7
"27",0,7
"28",2186,7
"29",0,7
"30",0,7
"31",1647,7
"32",1369,7
"33",0,7
"34",0,7
"35",1857,7
"36",0,7
"37",276,7
"38",1117,7
"39",0,7
"40",191,7
"41",1399,7
"42",0,7
"43",0,7
"44",1,7
"45",0,7
"46",2,7
"47",9,7
"48",0,7
"49",1,7
"50",8,7
"51",2384,7
"52",0,7
"53",3,7
"54",13,7
"55",0,7
"56",28,7
"57",2006,7
"58",1349,7
"59",5,7
"60",0,7
"61",0,7
"62",579,7
"63",0,7
"64",2,7
"65",9,7
"66",8,7
"67",0,7
"68",7,7
"69",0,7
"70",0,7
"71",4,7
"72",2,7
"73",15,7
"74",1651,7
"75",21,7
"76",0,7
"77",0,7
"78",276,7
"79",1,7
"80",1,7
"81",1307,7
"82",0,7
"83",5,7
"84",0,7
"85",2,7
"86",15,7
"87",12,7
"88",1,7
"89",337,7
"90",0,7
"91",0,7
"92",1,7
"93",13,7
"94",1647,7
"95",0,7
"96",1,7
"97",2013,7
"98",7,7
"99",0,7
"100",1,7
"101",0,7
"102",0,7
"103",1,7
"104",1349,7
"105",0,7
"106",49,7
"107",0,7
"108",3,7
"109",1533,7
"110",8,7
"111",75,7
"112",3,7
"113",0,7
"114",0,7
"115",2006,7
"116",0,7
"117",0,7
"118",337,7
"119",1,7
"120",0,7
"121",5,7
"122",0,7
"123",0,7
"124",5,7
"125",3,7
"126",0,7
"127",1,7
"128",77,7
"129",3,7
"130",0,7
"131",0,7
"132",0,7
"133",0,7
"134",276,7
"135",0,7
"136",0,7
"137",6,7
"138",2,7
"139",0,7
"140",1349,7
"141",1,7
"142",3,7
"143",3,7
"144",5,7
"145",0,7
"146",272,7
"147",38,7
"148",0,7
"149",0,7
"150",1,7
"151",2,7
"152",0,7
"153",0,7
"154",0,7
"155",3,7
"156",9,7
"157",0,7
"158",884,7
"159",712,7
"160",0,7
"161",0,7
"162",3,7
"163",2,7
"164",1,7
"165",0,7
"166",1,7
"167",11,7
"168",15,7
"169",0,7
"170",0,7
"171",0,7
"172",0,7
"173",0,7
"174",1842,7
"175",0,7
"176",0,7
"177",0,7
"178",7,7
"179",1,7
"180",1,7
"181",0,7
"182",0,7
"183",21,7
"184",0,7
"185",0,7
"186",0,7
"187",0,7
"188",13,7
"189",7,7
"190",1651,7
"191",0,7
"192",1,7
"193",6,7
"194",712,7
"195",77,7
"196",0,7
"197",1818,7
"198",0,7
"199",0,7
"200",884,7
"201",0,7
"202",327,7
"203",2,7
"204",2,7
"205",0,7
"206",7,7
"207",0,7
"208",0,7
"209",1381,7
"210",0,7
"211",0,7
"212",1533,7
"213",0,7
"214",0,7
"215",0,7
"216",0,7
"217",0,7
"218",0,7
"219",0,7
"220",0,7
"221",0,7
"222",8,7
"223",2013,7
"224",0,7
"225",1122,7
"226",0,7
"227",0,7
"228",817,7
"229",8,7
"230",12,7
"231",7,7
"232",0,7
"233",0,7
"234",0,7
"235",0,7
"236",1,7
"237",942,7
"238",1247,7
"239",272,7
"240",13,7
"241",2,7
"242",0,7
"243",0,7
"244",327,7
"245",0,7
"246",0,7
"247",2417,7
"248",579,7
"249",0,7
"250",2,7
"251",0,7
"252",0,7
"253",8,7
"254",2384,7
"255",0,7
"256",0,7
"257",3,7
"258",327,7
"259",0,7
"260",1117,7
"261",1,7
"262",884,7
"263",0,7
"264",991,7
"265",7,7
"266",1533,7
"267",0,7
"268",0,7
"269",0,7
"270",0,7
"271",0,7
"272",0,7
"273",1,7
"274",0,7
"275",1,7
"276",8,7
"277",8,7
"278",1,7
"279",0,7
"280",5,7
"281",0,7
"282",0,7
"283",0,7
"284",817,7
"285",0,7
"286",0,7
"287",0,7
"288",7,7
"289",1,7
"290",3,7
"291",0,7
