"","NumDiffGenes","Actual"
"1",158,121
"2",1800,121
"3",127,121
"4",1719,121
"5",0,121
"6",1005,121
"7",97,121
"8",118,121
"9",122,121
"10",176,121
"11",299,121
"12",27,121
"13",121,121
"14",900,121
"15",2811,121
"16",7,121
"17",1343,121
"18",440,121
"19",23,121
"20",96,121
"21",1986,121
"22",33,121
"23",14,121
"24",27,121
"25",3,121
"26",2353,121
"27",4,121
"28",32,121
"29",2133,121
"30",1719,121
"31",22,121
"32",1,121
"33",1,121
"34",53,121
"35",121,121
"36",2,121
"37",2768,121
"38",176,121
"39",8,121
"40",103,121
"41",2,121
"42",96,121
"43",2,121
"44",1800,121
"45",95,121
"46",167,121
"47",1,121
"48",4,121
"49",3,121
"50",64,121
"51",2828,121
"52",2723,121
"53",41,121
"54",3149,121
"55",76,121
"56",2260,121
"57",63,121
"58",1419,121
"59",19,121
"60",535,121
"61",65,121
"62",2,121
"63",11,121
"64",371,121
"65",303,121
"66",21,121
"67",3,121
"68",1,121
"69",1003,121
"70",1231,121
"71",6,121
"72",268,121
"73",2508,121
"74",9,121
"75",114,121
"76",440,121
"77",3,121
"78",1104,121
"79",1623,121
"80",943,121
"81",697,121
"82",3,121
"83",1377,121
"84",1,121
"85",151,121
"86",3,121
"87",1003,121
"88",1719,121
"89",1315,121
"90",22,121
"91",70,121
"92",27,121
"93",22,121
"94",132,121
"95",460,121
"96",8,121
"97",1383,121
"98",2133,121
"99",7,121
"100",2989,121
"101",27,121
"102",3,121
"103",25,121
"104",713,121
"105",2811,121
"106",167,121
"107",118,121
"108",122,121
"109",90,121
"110",36,121
"111",65,121
"112",6,121
"113",147,121
"114",21,121
"115",2260,121
"116",1493,121
"117",10,121
"118",1377,121
"119",12,121
"120",25,121
"121",22,121
"122",1,121
"123",100,121
"124",281,121
"125",53,121
"126",462,121
"127",7,121
"128",3,121
"129",48,121
"130",1383,121
"131",87,121
"132",2,121
"133",4,121
"134",1377,121
"135",167,121
"136",22,121
"137",303,121
"138",1,121
"139",1613,121
"140",53,121
"141",3,121
"142",3,121
"143",10,121
"144",66,121
"145",303,121
"146",121,121
"147",1315,121
"148",440,121
"149",22,121
"150",167,121
"151",1623,121
"152",2133,121
"153",694,121
"154",41,121
"155",98,121
"156",2,121
"157",1508,121
"158",462,121
"159",33,121
"160",81,121
"161",1,121
"162",0,121
"163",7,121
"164",713,121
"165",2,121
"166",268,121
"167",2189,121
"168",85,121
"169",69,121
"170",41,121
"171",1403,121
"172",118,121
"173",121,121
"174",66,121
"175",1493,121
"176",4,121
"177",12,121
"178",7,121
"179",15,121
"180",582,121
"181",3,121
"182",371,121
"183",38,121
"184",134,121
"185",23,121
"186",41,121
"187",32,121
"188",87,121
"189",81,121
"190",10,121
"191",60,121
"192",1005,121
"193",0,121
"194",118,121
"195",19,121
"196",2723,121
"197",2,121
"198",80,121
"199",2828,121
"200",120,121
"201",79,121
"202",96,121
"203",303,121
"204",19,121
"205",61,121
"206",1,121
"207",22,121
"208",122,121
"209",79,121
"210",3005,121
"211",2,121
"212",2974,121
"213",122,121
"214",1,121
"215",132,121
"216",65,121
"217",101,121
"218",15,121
"219",3423,121
"220",1,121
"221",1,121
"222",95,121
"223",1719,121
"224",1003,121
"225",0,121
"226",549,121
"227",103,121
"228",69,121
"229",1231,121
"230",1003,121
"231",3,121
"232",176,121
"233",48,121
"234",17,121
"235",457,121
"236",1343,121
"237",3,121
"238",27,121
"239",3,121
"240",0,121
"241",547,121
"242",0,121
"243",450,121
"244",2811,121
"245",41,121
"246",122,121
"247",81,121
"248",1104,121
"249",3005,121
"250",125,121
"251",12,121
"252",1,121
"253",46,121
"254",118,121
"255",397,121
"256",3,121
"257",582,121
"258",103,121
"259",41,121
"260",0,121
"261",46,121
"262",12,121
"263",299,121
"264",1,121
"265",1003,121
"266",60,121
"267",41,121
"268",243,121
"269",535,121
"270",134,121
"271",38,121
"272",1383,121
"273",1,121
"274",360,121
"275",2,121
"276",268,121
"277",1,121
"278",10,121
"279",33,121
"280",151,121
"281",1493,121
"282",46,121
"283",943,121
"284",53,121
"285",1,121
"286",0,121
"287",1119,121
"288",1119,121
"289",1104,121
"290",0,121
"291",12,121
"292",15,121
"293",96,121
"294",1613,121
"295",12,121
"296",161,121
"297",121,121
"298",12,121
"299",3,121
"300",1508,121
"301",79,121
"302",76,121
"303",54,121
"304",84,121
"305",117,121
